TOTAL_NUMBER_OF_VISITS,TOTAL_DURATION_SPENT,AVERAGE_DURATION_PER_VISIT,TOTAL_CHIPS_WON_OR_LOST,AVERAGE_CHIPS_WON_OR_LOST_PER_VISIT,UNIQUE_GAMES_PLAYED,IS_PREMIUM_PLAYER,IS_LOYALTY_CARD_HOLDER,TOTAL_AMOUNT_SPENT_IN_HOTEL,TOTAL_DAYS_SPENT_HOTEL,TOTAL_AMOUNT_SPENT_IN_CASINO_RESTAURANT,NUMBER_OF_RESTAURANT_VISITS,TOTAL_AMOUNT_SPENT_IN_SPA,NUMBER_OF_SPA_VISITS,TOTAL_REVENUE_TO_CASINO,NUMBER_OF_CONCIERGE_VISITS,PREFERRED_GAME_CATEGORY,PREFERRED_GAME_NAME,AGE,GENDER,HOME_COUNTRY,HOME_CITY,VISIT_FREQUENCY,CLUSTERS,PLAYER_SEGMENT,SEGMENT_DESC
19,95.77,5.0405263157894735,6516,342.94736842105266,6,True,False,24829.34,163,3971.72,100,8862.46,40,31147.52,90,1,2,68,1,1,29,-0.041304347826086954,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,92.06,4.002608695652174,1761,76.56521739130434,9,False,False,30120.36,69,7025.91,84,10391.1,37,45776.37,100,1,10,78,1,1,29,-0.12169312169312169,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,92.65,4.6325,-2272,-113.6,9,True,False,25053.85,118,4147.09,89,9854.42,31,41327.36,104,1,10,50,1,2,10,0.08583690987124463,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,107.03,4.459583333333334,1758,73.25,11,False,False,19053.34,113,7158.91,117,9037.19,43,33491.44,105,0,9,67,0,1,29,0.2696629213483146,1,Conservative Low spenders,"Low spends, low money making low risk players"
16,75.23,4.701875,-1218,-76.125,8,False,False,20270.83,120,3828.34,80,7885.45,32,33202.62,74,2,8,68,1,1,29,-0.04336043360433604,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,93.25,4.440476190476191,2999,142.8095238095238,9,False,True,33469.84,211,5941.19,84,10746.34,42,47158.37,84,0,4,76,0,3,23,0.022532188841201718,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,75.96,4.468235294117647,-1870,-110.0,10,True,True,12327.81,65,3956.99,76,8599.75,25,26754.55,88,1,6,25,1,0,13,-0.04314720812182741,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,116.53,5.549047619047619,3457,164.61904761904762,8,False,False,16894.06,114,5143.59,101,9413.29,48,27993.94,84,0,9,61,1,0,13,0.375,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
25,111.85,4.474,-2038,-81.52,11,False,False,52009.82,170,6184.38,114,10167.83,49,70400.03,111,0,9,80,1,1,29,-0.15337423312883436,1,Conservative Low spenders,"Low spends, low money making low risk players"
16,68.9,4.30625,-226,-14.125,8,True,False,15387.09,84,4305.1,67,8131.7699999999995,29,28049.96,87,2,1,35,0,0,24,0.01702127659574468,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
15,57.7,3.8466666666666667,1352,90.13333333333334,8,False,True,20698.73,115,3901.18,60,6639.41,26,29887.32,64,0,4,69,1,2,2,-0.08108108108108109,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,80.24,4.2231578947368416,2051,107.94736842105263,11,False,False,14370.48,111,4914.6,101,9672.27,43,26906.35,86,0,9,76,1,0,8,0.6129032258064516,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
22,91.53999999999999,4.16090909090909,-1329,-60.40909090909091,9,False,False,23568.58,163,5919.36,97,11632.869999999999,54,42449.81,115,2,3,73,0,3,27,-0.2222222222222222,1,Conservative Low spenders,"Low spends, low money making low risk players"
22,91.95,4.179545454545455,3847,174.86363636363637,9,False,False,22899.42,146,5677.54,98,10226.17,41,34956.130000000005,76,1,6,31,1,1,29,0.031654676258992806,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,68.87,4.304375,1328,83.0,10,True,False,27950.61,189,3438.54,92,9533.36,34,39594.51,69,1,10,45,1,3,22,0.18604651162790697,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
12,67.14,5.595,-1700,-141.66666666666666,8,False,False,19969.190000000002,93,3189.86,41,4762.1900000000005,22,29621.24,44,1,2,66,1,1,29,0.01282051282051282,3,Money losing players,Money losing players
19,85.88,4.52,-27,-1.4210526315789473,11,False,False,21834.48,87,5166.55,56,7899.54,41,34927.57,69,1,10,68,1,1,29,0.0521978021978022,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,106.83,5.087142857142857,2508,119.42857142857143,11,True,True,21853.64,132,5429.06,103,8337.16,35,33111.86,64,0,4,80,0,2,17,-0.06158357771260997,1,Conservative Low spenders,"Low spends, low money making low risk players"
21,97.22,4.62952380952381,758,36.095238095238095,9,False,False,34769.26,198,5775.53,97,11863.41,51,51650.2,114,1,6,77,0,1,29,0.036585365853658534,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,91.27,4.803684210526316,3553,187.0,9,False,True,30692.29,157,4910.97,85,8551.99,45,40602.25,81,1,2,66,0,3,21,-0.5428571428571428,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,70.49,4.405625,319,19.9375,7,False,False,25556.8,218,4419.54,63,8491.35,43,38148.69,56,0,4,76,0,0,13,0.05970149253731343,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,87.68,3.8121739130434786,2464,107.1304347826087,10,False,False,41044.78,211,7309.3099999999995,99,9152.16,31,55042.25,98,1,6,29,1,1,29,0.03463855421686747,1,Conservative Low spenders,"Low spends, low money making low risk players"
15,72.39,4.826,-837,-55.8,9,True,True,24151.64,110,3846.23,46,6500.13,30,35335.0,49,2,5,53,1,3,27,0.04201680672268908,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
14,64.95,4.639285714285714,2521,180.07142857142858,7,False,False,20146.93,135,4025.86,59,5295.42,25,26947.21,62,1,6,79,1,2,17,0.09859154929577464,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,91.63,4.5815,1391,69.55,10,False,False,23897.43,86,4641.889999999999,104,9603.41,34,36751.73,81,1,6,56,1,1,29,0.024360535931790498,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
31,141.7,4.570967741935483,-5250,-169.3548387096774,9,False,False,33454.15,182,8026.81,129,16602.77,61,63333.73,120,0,4,68,0,0,13,-0.06352459016393443,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
20,107.94,5.397,538,26.9,8,False,False,25194.46,146,3833.13,105,10520.07,54,39009.66,95,1,10,77,1,0,1,0.13157894736842105,1,Conservative Low spenders,"Low spends, low money making low risk players"
11,43.54,3.958181818181818,3806,346.0,8,False,False,19349.1,116,2583.34,61,6600.37,19,24726.81,52,0,0,80,1,0,0,0.07913669064748201,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,83.03,4.37,-1245,-65.52631578947368,8,False,False,21846.53,181,4812.18,86,10627.34,41,38531.049999999996,83,0,0,70,0,0,24,-0.2835820895522388,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,88.92,4.446,-4924,-246.2,10,False,False,27993.55,153,4469.22,102,10901.93,43,48288.7,99,2,5,78,1,1,29,-0.0437636761487965,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,102.27,4.2612499999999995,-1525,-63.541666666666664,10,False,True,24376.31,163,7125.37,84,12980.01,47,46006.69,129,1,10,77,0,0,0,-0.05620608899297424,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,108.32,5.4159999999999995,1176,58.8,7,False,True,40561.33,180,4710.51,76,11778.33,46,55874.17,89,1,2,45,1,1,29,0.09615384615384616,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,119.9,4.995833333333334,-183,-7.625,10,False,False,38827.38,175,6848.96,108,12866.15,44,58725.49,113,0,9,71,1,2,19,0.27586206896551724,1,Conservative Low spenders,"Low spends, low money making low risk players"
25,118.3,4.732,2139,85.56,10,False,True,24826.59,128,6129.63,105,13263.55,37,42080.77,124,1,6,73,1,2,15,0.08305647840531562,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,85.97,4.524736842105263,2086,109.78947368421052,10,False,False,23901.07,181,5124.92,90,11138.76,46,38078.75,88,1,6,57,1,2,2,0.03531598513011153,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,99.07,4.9535,-5670,-283.5,10,False,False,24201.45,151,5376.21,96,10340.71,39,45588.37,86,2,5,72,0,0,20,-0.15873015873015872,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
18,86.6,4.811111111111111,-2220,-123.33333333333333,7,True,False,22393.77,126,4935.78,88,9791.869999999999,31,39341.42,109,0,4,56,0,3,6,0.1258741258741259,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
14,66.84,4.774285714285715,-592,-42.285714285714285,9,False,False,23065.79,122,4637.0,81,7840.64,27,36135.43,63,1,2,64,1,3,22,-0.016867469879518072,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
9,33.43,3.714444444444444,-255,-28.333333333333332,6,False,False,17805.53,103,1672.68,38,5614.43,27,25347.64,47,0,4,54,1,0,13,0.023622047244094488,3,Money losing players,Money losing players
21,93.02,4.429523809523809,-1952,-92.95238095238095,11,False,False,23469.7,171,5010.02,77,11597.72,33,42029.44,78,0,0,56,0,3,27,-0.13725490196078433,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,121.42,5.059166666666667,2399,99.95833333333333,8,True,False,23736.760000000002,193,6007.93,82,10549.69,50,37895.38,122,1,10,78,1,0,8,0.02761795166858458,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,70.32,4.1364705882352935,2990,175.88235294117646,8,False,False,28168.22,156,3970.05,62,8626.51,29,37774.78,75,0,0,69,0,3,23,0.1,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,62.68,3.9175,-1257,-78.5625,9,False,True,22002.22,142,4253.04,62,6478.42,29,33990.68,74,0,4,59,1,1,29,0.19753086419753085,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,103.13,4.48391304347826,1412,61.391304347826086,8,False,False,27628.899999999998,220,6827.07,90,9657.18,42,42701.15,91,0,0,76,1,1,29,-0.09274193548387097,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,93.11,4.900526315789474,3513,184.89473684210526,10,False,False,28123.08,156,4709.72,83,8030.93,41,37350.729999999996,79,1,10,64,0,0,24,0.018518518518518517,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,98.65,4.9325,-4562,-228.1,8,True,False,17097.51,92,6277.08,83,10965.76,39,38902.35,88,1,10,78,0,3,6,-0.09345794392523364,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,98.51,4.690952380952381,2820,134.28571428571428,11,False,False,31391.65,158,5643.72,120,11560.9,37,45776.270000000004,76,2,3,66,1,1,29,0.07894736842105263,1,Conservative Low spenders,"Low spends, low money making low risk players"
13,60.28,4.636923076923077,-1420,-109.23076923076923,8,True,False,17233.15,89,3350.62,70,7201.95,23,29205.72,61,0,9,55,0,2,9,-0.19696969696969696,3,Money losing players,Money losing players
14,65.7,4.692857142857143,3549,253.5,7,True,True,22658.85,149,3348.83,65,9037.92,29,31496.6,67,1,2,80,0,2,15,-0.025225225225225224,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
11,42.3,3.8454545454545452,-1062,-96.54545454545455,7,True,False,21816.469999999998,132,3202.55,43,5694.84,20,31775.86,49,0,4,59,0,1,29,0.026066350710900472,3,Money losing players,Money losing players
18,89.75,4.986111111111111,-1910,-106.11111111111111,9,False,False,21211.92,85,4726.58,85,8972.96,34,36821.46,83,1,10,37,0,0,13,0.043373493975903614,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,95.1,4.5285714285714285,-3645,-173.57142857142858,7,True,True,27106.78,181,4617.22,74,11892.73,35,47261.729999999996,94,0,4,56,0,3,18,0.03903345724907063,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
17,66.68,3.922352941176471,-1527,-89.82352941176471,9,False,False,20284.25,136,4581.27,90,6857.360000000001,28,33249.88,74,1,2,46,0,2,28,-0.17,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,88.11,4.4055,-4472,-223.6,8,False,False,31204.94,187,5279.74,72,10561.17,44,51517.85,77,2,7,54,0,3,26,-0.03590664272890485,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
15,69.84,4.656000000000001,5299,353.26666666666665,7,True,False,18370.48,106,2803.9,54,9401.97,34,25277.35,74,1,10,62,1,2,19,-0.032188841201716736,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,92.83,4.42047619047619,-3883,-184.9047619047619,11,False,True,31892.93,216,5402.2699999999995,96,10147.07,34,51325.27,92,0,4,63,0,3,18,-0.03425774877650897,1,Conservative Low spenders,"Low spends, low money making low risk players"
32,132.7,4.146875,3196,99.875,10,True,True,40994.74,189,8310.65,120,14942.74,64,61052.13,114,0,9,59,0,0,12,0.025848142164781908,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
17,66.41,3.906470588235294,4576,269.1764705882353,9,True,False,35283.82,214,3973.32,96,8133.33,33,42814.47,82,0,0,36,0,1,29,-0.05519480519480519,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,83.94,3.997142857142857,-25,-1.1904761904761905,8,False,False,28943.33,153,4766.26,86,11355.369999999999,41,45089.96,83,0,9,75,0,0,12,-0.22826086956521738,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
25,112.67999999999999,4.5072,-929,-37.16,9,True,False,50622.69,231,7146.4,113,10254.82,48,68952.91,108,0,0,46,1,3,27,0.16666666666666666,1,Conservative Low spenders,"Low spends, low money making low risk players"
28,118.41,4.228928571428571,-1797,-64.17857142857143,9,True,True,33162.36,194,7061.04,111,16376.130000000001,54,58396.53,138,1,10,78,0,3,27,0.03444034440344403,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
17,73.67,4.333529411764706,-827,-48.64705882352941,9,True,False,17965.940000000002,55,2550.13,59,9915.25,27,31258.32,85,2,3,75,1,2,28,0.09826589595375723,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
22,96.31,4.377727272727273,3241,147.3181818181818,9,False,False,30301.620000000003,153,6293.21,93,13111.3,43,46465.13,87,1,2,34,1,0,20,-0.14285714285714285,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,77.02,4.530588235294117,3290,193.52941176470588,8,False,False,28450.27,162,5033.48,79,8916.8,23,39110.55,79,1,2,64,1,3,22,0.08585858585858586,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,108.97,4.737826086956522,4095,178.04347826086956,10,False,True,21084.440000000002,170,5962.01,96,12033.16,42,34984.61,89,0,4,69,1,0,8,0.08614232209737828,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,80.78,4.039,2764,138.2,9,True,True,24216.77,178,6348.71,88,8395.72,40,36197.2,104,1,6,41,0,3,25,-0.05319148936170213,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,101.52,4.2299999999999995,-1377,-57.375,10,False,False,37723.43,210,5267.89,101,12049.37,53,56417.69,108,2,3,72,0,0,13,0.04477611940298507,1,Conservative Low spenders,"Low spends, low money making low risk players"
21,84.85,4.04047619047619,616,29.333333333333332,9,True,False,25238.5,138,5051.54,101,11894.56,51,41568.6,93,0,0,77,1,3,25,-3.5,1,Conservative Low spenders,"Low spends, low money making low risk players"
13,53.4,4.107692307692307,1361,104.6923076923077,6,False,False,26127.09,152,3502.69,46,7297.43,25,35566.21,67,0,4,59,1,2,19,-0.02333931777378815,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,102.33,4.26375,-3764,-156.83333333333334,10,False,True,23040.44,202,6477.68,103,12367.54,57,45649.66,115,0,9,73,0,2,28,0.04013377926421405,1,Conservative Low spenders,"Low spends, low money making low risk players"
23,96.68,4.2034782608695656,1234,53.65217391304348,9,False,False,31239.26,159,7484.26,121,10425.01,37,47914.53,104,1,10,58,1,3,26,0.042435424354243544,1,Conservative Low spenders,"Low spends, low money making low risk players"
25,125.87,5.034800000000001,3762,150.48,10,False,True,35829.64,175,5891.01,141,11531.91,55,49490.56,148,1,10,76,1,1,29,0.1201923076923077,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
22,92.66,4.211818181818182,-2656,-120.72727272727273,10,True,False,20480.39,164,5245.83,96,13417.76,47,41799.98,94,1,2,77,1,3,21,0.06626506024096386,1,Conservative Low spenders,"Low spends, low money making low risk players"
21,112.1,5.338095238095238,694,33.04761904761905,9,False,False,42483.07,210,5773.91,108,9862.380000000001,43,57425.36,82,2,5,42,0,0,24,0.046052631578947366,1,Conservative Low spenders,"Low spends, low money making low risk players"
15,75.62,5.041333333333333,-501,-33.4,7,True,True,29340.93,165,4599.46,62,7599.25,21,42040.64,56,1,2,38,0,1,29,-0.032397408207343416,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
12,57.78,4.815,-349,-29.083333333333332,6,True,True,9451.1,33,3542.35,45,7223.95,24,20566.4,46,1,6,65,1,1,29,0.026905829596412557,3,Money losing players,Money losing players
20,73.97,3.6985,2197,109.85,9,False,True,30918.28,156,5285.27,89,8596.25,39,42602.8,78,2,5,54,0,0,12,-0.5128205128205128,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
14,69.87,4.990714285714286,-232,-16.571428571428573,9,True,False,25827.15,123,3710.3199999999997,70,7316.29,34,37085.76,70,1,10,79,1,1,29,-0.05761316872427984,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
17,76.33,4.49,-224,-13.176470588235293,8,False,True,24864.85,160,5185.69,69,8206.11,36,38480.65,83,0,4,53,1,1,29,-0.019883040935672516,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,105.52,4.587826086956522,-2098,-91.21739130434783,10,False,False,34443.68,123,6587.5199999999995,98,13329.57,52,56458.770000000004,100,0,4,30,0,3,22,0.08487084870848709,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,100.1,4.170833333333333,1409,58.708333333333336,9,False,False,33030.700000000004,145,6144.83,127,12284.54,55,50051.07,116,0,0,71,1,1,29,-0.38095238095238093,1,Conservative Low spenders,"Low spends, low money making low risk players"
22,85.88,3.9036363636363633,-1904,-86.54545454545455,9,False,False,25721.94,183,5649.92,74,11572.1,60,44847.96,92,2,5,59,0,0,14,0.028205128205128206,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,88.68,4.667368421052632,649,34.1578947368421,10,True,False,25942.72,110,5502.36,80,8977.53,31,39773.61,96,2,7,74,1,3,23,0.09004739336492891,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,101.35,4.406521739130435,6262,272.2608695652174,11,True,True,33006.76,170,6104.12,102,12915.1,48,45763.98,105,1,2,72,1,0,8,0.026136363636363635,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,76.04,4.472941176470589,-3154,-185.52941176470588,8,False,False,21072.690000000002,100,4192.51,86,8189.74,33,36608.94,72,2,5,63,0,2,16,0.0265625,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
25,114.44,4.5776,1745,69.8,9,False,True,35011.46,157,6438.39,120,11918.3,48,51623.15,128,1,6,44,0,1,29,0.030826140567200986,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
15,70.07,4.671333333333333,1873,124.86666666666666,9,False,True,16485.2,163,3546.34,85,8889.51,28,27048.05,65,0,4,52,1,2,3,-0.019659239842726082,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,70.79,4.424375,-1017,-63.5625,8,False,True,12876.84,87,4143.23,86,9915.27,35,27952.34,73,0,0,73,1,2,4,0.0486322188449848,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,70.07,4.379375,-2492,-155.75,9,False,True,22179.99,67,4430.77,66,8082.32,29,37185.08,92,0,0,48,0,1,29,0.017112299465240642,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,106.13,4.614347826086957,3358,146.0,11,True,False,30551.62,238,6290.92,102,10980.67,54,44465.21,112,1,6,55,0,3,18,-0.5609756097560976,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,72.15,4.2441176470588236,551,32.411764705882355,9,False,False,27892.01,147,4828.57,88,9959.72,23,42129.3,58,2,1,65,1,3,23,0.09550561797752809,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,91.65,3.81875,-1188,-49.5,10,False,False,16898.66,115,6295.26,98,11356.95,56,35738.869999999995,101,0,9,44,1,1,29,0.057007125890736345,1,Conservative Low spenders,"Low spends, low money making low risk players"
23,95.64999999999999,4.158695652173913,-3811,-165.69565217391303,10,False,False,36483.35,225,6429.92,114,11335.61,42,58059.88,109,0,9,62,0,3,25,-0.03417533432392273,1,Conservative Low spenders,"Low spends, low money making low risk players"
18,102.15,5.675000000000001,-4745,-263.6111111111111,9,False,False,17328.77,239,4029.48,73,9198.9,39,35302.15,77,2,8,53,1,1,29,0.20224719101123595,1,Conservative Low spenders,"Low spends, low money making low risk players"
28,116.03,4.143928571428572,-2496,-89.14285714285714,10,False,False,34829.26,262,7485.52,107,14249.91,54,59060.69,120,0,9,71,1,2,2,-0.039886039886039885,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
19,85.13,4.480526315789473,734,38.63157894736842,9,True,True,16722.03,190,5276.89,97,8159.84,40,29424.76,68,0,0,61,0,0,0,0.057926829268292686,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
25,103.26,4.1304,1751,70.04,10,False,True,22766.329999999998,145,5304.38,117,10328.79,52,36648.5,130,2,3,47,1,0,13,0.11961722488038277,1,Conservative Low spenders,"Low spends, low money making low risk players"
21,95.69,4.556666666666667,-2359,-112.33333333333333,9,False,False,13984.89,117,6445.99,96,12138.11,32,34927.99,87,0,0,72,1,3,26,0.17355371900826447,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,94.89,4.7445,-1873,-93.65,9,False,True,35231.33,102,5795.55,104,9030.5,35,51930.38,94,0,0,66,0,2,15,-0.29411764705882354,1,Conservative Low spenders,"Low spends, low money making low risk players"
15,76.19,5.0793333333333335,-313,-20.866666666666667,8,False,False,18208.519999999997,127,3583.82,68,10033.35,24,32138.69,63,2,5,51,0,1,29,0.054945054945054944,3,Money losing players,Money losing players
22,96.33,4.378636363636364,364,16.545454545454547,10,False,False,25899.41,119,5559.9,113,10441.9,52,41537.21,87,1,10,73,0,2,9,0.1476510067114094,1,Conservative Low spenders,"Low spends, low money making low risk players"
18,75.65,4.202777777777778,-1784,-99.11111111111111,8,False,False,25769.269999999997,170,6043.8099999999995,94,10600.14,38,44197.22,88,0,0,28,0,3,25,0.12162162162162163,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,79.57000000000001,4.187894736842106,-236,-12.421052631578947,9,False,False,23532.260000000002,194,4479.34,78,7816.85,38,36064.45,106,1,2,64,1,3,22,-0.02710413694721826,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,93.64,3.901666666666667,-131,-5.458333333333333,9,False,False,16621.52,149,4700.28,100,11654.18,49,33106.979999999996,102,0,0,72,0,3,26,-0.0410958904109589,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,88.85,4.6763157894736835,-1697,-89.3157894736842,10,False,False,19700.6,152,3704.6400000000003,95,9949.09,43,35051.33,94,1,6,78,0,2,19,-0.05121293800539083,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,125.72,5.466086956521739,-4082,-177.47826086956522,10,False,False,21443.75,128,6367.52,122,12539.74,40,44433.01,96,2,5,67,1,2,28,-0.36507936507936506,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,102.94,5.417894736842105,1979,104.15789473684211,11,True,False,26640.39,142,5313.14,84,9290.9,35,39265.43,96,1,6,66,1,2,2,-0.2923076923076923,1,Conservative Low spenders,"Low spends, low money making low risk players"
16,70.33,4.395625,1884,117.75,7,False,True,25420.53,58,4218.82,58,9753.4,39,37508.75,105,1,10,70,1,1,29,0.07881773399014778,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,65.63,4.101875,-3604,-225.25,7,False,True,23516.13,161,3926.95,80,8600.13,39,39647.21,64,2,7,27,0,0,12,0.02821869488536155,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,101.08,4.211666666666667,141,5.875,10,True,False,18251.71,99,6497.87,109,12463.58,41,37072.159999999996,95,1,6,55,1,2,15,-0.15894039735099338,1,Conservative Low spenders,"Low spends, low money making low risk players"
26,137.21,5.2773076923076925,-699,-26.884615384615383,11,True,False,37289.32,224,6292.04,97,14261.06,46,58541.42,119,2,3,78,1,2,10,0.07222222222222222,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
21,95.05,4.526190476190476,-5643,-268.7142857142857,9,True,False,25142.13,198,5763.7699999999995,92,8260.16,35,44809.06,97,1,10,65,0,1,29,0.08860759493670886,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
31,125.08,4.03483870967742,1288,41.54838709677419,11,False,True,44298.6,291,7745.82,144,18329.7,83,69086.12,157,0,0,42,0,0,12,-0.8857142857142857,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
16,71.75,4.484375,-3873,-242.0625,8,True,False,13149.25,129,4696.12,60,9947.21,40,31665.58,85,0,9,80,1,2,10,0.07655502392344497,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,61.85,3.255263157894737,3792,199.57894736842104,10,False,True,26211.31,130,5952.87,87,9323.01,33,37695.19,80,1,10,79,1,3,21,0.06484641638225255,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,104.13,4.33875,401,16.708333333333332,9,False,True,20469.3,151,5558.36,89,13059.59,41,38686.25,115,0,0,70,1,1,29,-0.09375,1,Conservative Low spenders,"Low spends, low money making low risk players"
22,103.99,4.726818181818182,3455,157.04545454545453,10,False,True,21333.84,247,4885.67,110,10059.48,51,32823.99,91,0,4,43,0,1,29,-0.55,1,Conservative Low spenders,"Low spends, low money making low risk players"
18,94.22,5.234444444444445,1237,68.72222222222223,8,False,False,31615.309999999998,182,4306.39,89,9020.43,46,43705.130000000005,102,0,4,35,1,1,29,0.06691449814126393,1,Conservative Low spenders,"Low spends, low money making low risk players"
22,105.17,4.780454545454545,-4465,-202.95454545454547,10,False,False,18566.69,144,5719.93,119,9847.99,27,38599.61,93,1,10,21,1,2,17,-0.0873015873015873,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
22,110.73,5.033181818181818,-1477,-67.13636363636364,10,False,False,24034.09,162,5913.76,112,10046.67,42,41471.52,110,1,2,71,0,3,6,0.41509433962264153,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,99.49,5.236315789473684,-2313,-121.73684210526316,11,False,False,22484.57,113,5349.3,109,9563.74,40,39710.61,105,1,2,56,0,3,23,-0.04086021505376344,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,70.42,4.142352941176471,5162,303.6470588235294,8,True,False,35251.04,186,5752.12,60,9833.73,29,45674.89,77,0,4,51,0,2,9,0.09340659340659341,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
